Topic,Desc,Link,Filename,Downloaded
burning,,,,
,airstrike ,https://twitter.com/i/status/1496846375648178185,a1,x
,s300?,https://twitter.com/i/status/1496928595427852288,a2,x
,tank column burning along highway,https://twitter.com/i/status/1496834637045370881,a3,x
,burning outside truck window,https://t.me/Ugolok_Sitha/4503,a4,
,truck burning and civ car hit,https://t.me/Ugolok_Sitha/4490,a5,
,flames rise and a womans tense voice,https://t.me/Ugolok_Sitha/4435,a6,
,warehouse explodes,https://twitter.com/i/status/1496801786526580740,a7,x
,"man drives by burning armor, his face visible in rear view",https://twitter.com/i/status/1496735261740437505,a8,x
,trucker driving through burning wrecks,https://t.me/Ugolok_Sitha/4505,a9,
protest,,,,
,protest in moscow,https://twitter.com/i/status/1496958708668301312,b1,x
central,,,,
,early morning mlrs barrage outside of lit up city with church in view,https://twitter.com/i/status/1496706164373008385,c1,x
,"seeing mlrs strikes outside your house, scared voice",https://twitter.com/i/status/1496749873449914369,c2,x
,driving past burning tanks,https://twitter.com/i/status/1496831044808581122,c3,x
,finding missile wreckage,https://twitter.com/i/status/1496734690971197444,c4,x
,quiet and tanks in chernobyl,https://twitter.com/i/status/1496905008700342272,c5,x
,APC down [BODIES],https://t.me/Ugolok_Sitha/4473,c6,
,smoke in back of field with shutter glitch,https://t.me/Ugolok_Sitha/4464,c7,
,woman yelling at a soldier,https://twitter.com/i/status/1496865748635037704,c8,x
,soldiers surrendering,https://twitter.com/i/status/1496813849206534150,c9,x
,view of immediate shootdown,https://twitter.com/i/status/1497042461935513622,c10,x
,"side view after shootdown, falling stars",https://twitter.com/i/status/1497039897869307905,c11,x
,"abandoned civ cars, man caring for another who was injured in the event",https://twitter.com/i/status/1497238121183944707,c12,x
movement,,,,
,"helicopters over reservoir, pop chaff at beginning",https://twitter.com/i/status/1496971121413046274,d1,x
,su-25 flaress,https://twitter.com/i/status/1496958708668301312,d2,x
,howitzers on tanks,https://twitter.com/i/status/1496822686072328198,d3,x
,fighter jets over solar panels,https://twitter.com/i/status/1496829418702090245,d4,x
,helicopters over smoky roofs,https://twitter.com/i/status/1496809143738507264,d5,x
,mlrs ribbon in the sky,https://twitter.com/i/status/1496731416272457732,d6,x
,soldiers moving thru the woods,https://twitter.com/i/status/1496959991735275520,d7,x
,tanks outside someones house,https://twitter.com/i/status/1496910199747059719,d8,x
,tanks next to painted window,https://t.me/Ugolok_Sitha/4474,d9,
,atack helicopter over road in center frame,https://t.me/Ugolok_Sitha/4453,d10,
,two fighter planes follow each other over houses,https://twitter.com/i/status/1496821846070677505,d11,x
,missile launch,https://twitter.com/i/status/1496716677572145157,d12,x
people,,,,
,that cnn guy,https://twitter.com/i/status/1496849053824471041,,e1,x
,people survey aftermath of fight,https://twitter.com/i/status/1496916346302513152,,e2,x
,soldiers before a barrage,https://twitter.com/i/status/1496933823690555396,fake,e3,x
,women watch tanks roll by,https://t.me/vorposte/13813,,e4,
,whole neighborhood surveys tank rubble,https://t.me/milinfolive/76882,,e5,
,people look at tank turret embedded in street,https://t.me/milinfolive/76882,,e6,
,civilian walking by spetsnaz hiding at corner of building,https://twitter.com/i/status/1497138209251155969,,e7,x
prisoners,,,,
,Russians giving cigarettes to captured ukrainians,https://twitter.com/i/status/1497013223211503624,f1,x
,captured russians claiming to be on an exercise in crimea,https://twitter.com/i/status/1497014634045493250,f2,x
,man with wounded arm (tank battalion commander),https://twitter.com/i/status/1496912948132028419,f3,x
,line of ukrainian prisoners in a yard plus truck,https://twitter.com/i/status/1496856016507617285,f4,x
