Des,Link
early morning mlrs barrage outside of lit up city with church in view,https://twitter.com/i/status/1496706164373008385
"seeing mlrs strikes outside your house, scared voice",https://twitter.com/i/status/1496749873449914369
driving past burning tanks,https://twitter.com/i/status/1496831044808581122
finding missile wreckage,https://twitter.com/i/status/1496734690971197444
quiet and tanks in chernobyl,https://twitter.com/i/status/1496905008700342272
APC down [BODIES],https://t.me/Ugolok_Sitha/4473
smoke in back of field with shutter glitch,https://t.me/Ugolok_Sitha/4464
woman yelling at a soldier,https://twitter.com/i/status/1496865748635037704
soldiers surrendering,https://twitter.com/i/status/1496813849206534150
view of immediate shootdown,https://twitter.com/i/status/1497042461935513622
"side view after shootdown, falling stars",https://twitter.com/i/status/1497039897869307905
"abandoned civ cars, man caring for another who was injured in the event",https://twitter.com/i/status/1497238121183944707
